MSSubClass,SalePrice,Residential,LotFrontage,LotArea,Paved,RegularLotShape,LevelContour,AllUtilities,InsideStreet,SingleFam,Age,OverallQual,OverallCond,ExterQual,ExterCond,FinalBsmtQual,BsmtSF,HeatingQual,CentralAir,ElectricQC,TotalSF,Bathrooms,Bedrooms,KitchenQual,Functional,FireplaceQual,GarageScore,PorchArea,Pool,LuxuryItems,LuxuryValue
5,208500,1,65.0,8450,1,1,1,1,1,1,0,7,5,4,3,15.0,856,5,1,4,1710,2.5,3,4,1,0,11.0,61.0,0,0,0
0,181500,1,80.0,9600,1,1,1,1,0,1,0,6,8,3,3,17.0,1262,5,1,4,1262,2.0,3,3,1,3,11.0,298.0,0,0,0
5,223500,1,68.0,11250,1,0,1,1,1,1,1,7,5,4,3,16.0,920,5,1,4,1786,2.5,3,4,1,3,11.0,42.0,0,0,0
6,140000,1,60.0,9550,1,0,1,1,0,1,55,7,5,3,3,14.0,756,4,1,4,1717,1.0,3,4,1,4,10.0,307.0,0,0,0
5,250000,1,84.0,14260,1,0,1,1,0,1,0,8,5,4,3,17.0,1145,5,1,4,2198,2.5,4,4,1,3,11.0,276.0,0,0,0
4,143000,1,85.0,14115,1,0,1,1,1,1,2,5,5,3,3,15.0,796,5,1,4,1362,1.5,1,3,1,0,10.0,390.0,0,0,700
0,307000,1,75.0,10084,1,1,1,1,1,1,1,8,5,4,3,18.0,1686,5,1,4,1694,2.0,3,4,1,4,11.0,312.0,0,0,0
5,200000,1,,10382,1,0,1,1,0,1,0,7,6,3,3,18.0,1107,5,1,4,2090,2.5,3,3,1,3,11.0,667.0,0,0,350
4,129900,1,51.0,6120,1,1,1,1,1,1,19,7,5,3,3,9.0,952,4,1,2,1774,2.0,2,3,0,3,9.0,295.0,0,0,0
15,118000,1,50.0,7420,1,1,1,1,0,0,11,5,6,3,3,14.0,991,5,1,4,1077,1.0,2,3,1,3,12.0,4.0,0,0,0
0,129500,1,70.0,11200,1,1,1,1,1,1,0,5,5,3,3,11.0,1040,5,1,4,1040,1.0,3,3,1,0,10.0,0.0,0,0,0
5,345000,1,85.0,11924,1,0,1,1,1,1,1,9,5,5,3,16.0,1175,5,1,4,2324,3.0,4,5,1,4,12.0,168.0,0,0,0
0,144000,1,,12968,1,0,1,1,1,1,0,5,6,3,3,13.0,912,3,1,4,912,1.0,2,3,1,0,10.0,316.0,0,0,0
0,279500,1,91.0,10652,1,0,1,1,1,1,1,7,5,4,3,12.0,1494,5,1,4,1494,2.0,3,4,1,4,11.0,193.0,0,0,0
0,157000,1,,10920,1,0,1,1,0,1,0,6,5,3,3,12.0,1253,3,1,4,1253,1.5,2,3,1,2,11.0,389.0,0,0,0
3,132000,1,51.0,6120,1,1,1,1,0,1,72,7,8,3,3,9.0,832,5,1,3,854,1.0,2,3,1,0,10.0,160.0,0,0,0
0,149000,1,,11241,1,0,1,1,0,1,0,6,7,3,3,13.0,1004,5,1,4,1004,1.0,2,3,1,3,12.0,0.0,0,0,700
10,90000,1,72.0,10791,1,1,1,1,1,0,0,4,5,3,3,,0,3,1,4,1296,2.0,2,3,1,0,10.0,0.0,0,0,500
0,159000,1,66.0,13695,1,1,1,1,1,1,0,5,5,3,3,14.0,1114,5,1,4,1114,1.5,3,4,1,0,10.0,102.0,0,0,0
0,139000,1,70.0,7560,1,1,1,1,1,1,7,5,6,3,3,10.0,1029,3,1,4,1339,1.0,3,3,0,0,10.0,0.0,0,0,0
5,325300,1,101.0,14215,1,0,1,1,0,1,1,8,5,4,3,13.0,1158,5,1,4,2376,3.5,4,4,1,4,11.0,394.0,0,0,0
3,139400,1,57.0,7449,1,1,0,1,1,1,20,7,7,3,3,9.0,637,5,1,2,1108,1.0,3,4,1,4,8.0,205.0,0,0,0
0,230000,1,75.0,9742,1,1,1,1,1,1,0,8,5,4,3,10.0,1777,5,1,4,1795,2.0,3,4,1,4,11.0,330.0,0,0,0
11,129900,1,44.0,4224,1,1,1,1,1,0,0,5,7,3,3,15.0,1040,3,1,4,1060,1.0,3,3,1,3,10.0,210.0,0,0,0
0,154000,1,,8246,1,0,1,1,1,1,33,5,8,3,4,16.0,1060,5,1,4,1060,1.0,3,4,1,3,10.0,496.0,0,0,0
0,256300,1,110.0,14230,1,1,1,1,0,1,0,8,5,4,3,10.0,1566,5,1,4,1600,2.0,3,4,1,4,11.0,56.0,0,0,0
0,134800,1,60.0,7200,1,1,1,1,0,1,49,5,7,3,3,15.0,900,3,1,4,900,1.0,3,4,1,0,10.0,254.0,0,0,0
0,306000,1,98.0,11478,1,1,1,1,1,1,1,8,5,4,3,16.0,1704,5,1,4,1704,2.0,3,4,1,4,11.0,50.0,0,0,0
